Paragraph,Question,Answer
Our first time in New York and we had to try a New York Bagel . We were not dissappointed in the least bit by this little gem . The bagel was huge . They were served warm and had a soft fluffy interior . The workers there also absolutely load the bagel with cream cheese ( gets a little messy ) . I loved it and would HIGHLY RECOMMEND .,is the bagel large ?,huge
Our first time in New York and we had to try a New York Bagel . We were not dissappointed in the least bit by this little gem . The bagel was huge . They were served warm and had a soft fluffy interior . The workers there also absolutely load the bagel with cream cheese ( gets a little messy ) . I loved it and would HIGHLY RECOMMEND .,does the bagel come with cream cheese ?,with
Our first time in New York and we had to try a New York Bagel . We were not dissappointed in the least bit by this little gem . The bagel was huge . They were served warm and had a soft fluffy interior . The workers there also absolutely load the bagel with cream cheese ( gets a little messy ) . I loved it and would HIGHLY RECOMMEND .,do you recommend this place ?,HIGHLY RECOMMEND
"The view is spectacular , and the food is great . Wonderful strawberry daiquiries as well ! Definitely worth the trip to Battery Park City ! One of my favorite places in Manhattan .",how do you like their food ?,great
"this little place has a cute interior decor and affordable city prices . the pad se ew chicken was delicious , however the pad thai was far too oily . i would just ask for no oil next time .",do they have pad se ew ?,pad se ew chicken
"this little place has a cute interior decor and affordable city prices . the pad se ew chicken was delicious , however the pad thai was far too oily . i would just ask for no oil next time .",do you like their pad se ew chicken ?,delicious
"I have n't been to the other locations . Haru on Park S is simply disgusting . The fish was not fresh and the rice tasted old and stale . Quite frankly , this is some of the worst sushi I have ever tried . Will never be back .",is their fish fresh ?,not
"I have n't been to the other locations . Haru on Park S is simply disgusting . The fish was not fresh and the rice tasted old and stale . Quite frankly , this is some of the worst sushi I have ever tried . Will never be back .",how is the sushi there ?,some of the worst sushi I have ever tried
Dokebi gives Williamsburg the right one-two punch of classic Korean food and fusion twists like pork belly tacos .,what is their style ?,classic Korean
"Do not get the Go Go Hamburgers , no matter what the reviews say . They were such a rip-off ( $ 8.95 for four small meat patties in steamed buns ) and not worth trying . The rest of the dim sum , though pricey by Chinatown standards , is worth it . Steamed fresh so brought hot hot hot to your table . The wait here is long for dim sum , but if you do n't like sharing tables or if the typical raucous dim sum atmosphere is not your gig , this is a sleek ( for Chinatown ) alternative . A few tips : skip the turnip cake , roast pork buns and egg custards . These are overpriced and you can get better just around the corner : ( 1 ) turnip cakes at the little kiosk on east side of Mott St. just south of bayard ( 2 ) egg custards and pork buns at either bakery on west side of Mott street just south of Canal .",how much for a Go Go Hamburger ?,$ 8.95
"Do not get the Go Go Hamburgers , no matter what the reviews say . They were such a rip-off ( $ 8.95 for four small meat patties in steamed buns ) and not worth trying . The rest of the dim sum , though pricey by Chinatown standards , is worth it . Steamed fresh so brought hot hot hot to your table . The wait here is long for dim sum , but if you do n't like sharing tables or if the typical raucous dim sum atmosphere is not your gig , this is a sleek ( for Chinatown ) alternative . A few tips : skip the turnip cake , roast pork buns and egg custards . These are overpriced and you can get better just around the corner : ( 1 ) turnip cakes at the little kiosk on east side of Mott St. just south of bayard ( 2 ) egg custards and pork buns at either bakery on west side of Mott street just south of Canal .",what is inside the go go hamburger ?,four small meat patties in steamed buns
